CSID,Class
6731869,SSI1  134 A
6731873,HIST  153 A
6731873,PG  102 B
6731873,SPAN  101 E
6731873,SPAN  101 E
6731873,SSI1  144 A
6731954,CHIN  101 A
6731954,CHIN  101 CC
6731954,ECON  170 A
6731954,MUS  101 B
6731954,MUS  103 B
6731954,SSI1  118 B
6731969,BIOL  111 C
6731969,BIOL  111 CA
6731969,CHEM  110 B
6731969,CHEM  110 BB
6731969,SPAN  101 B
6731969,SPAN  101 B
6731969,SSI1  171 A
6731992,CHEM  110 C
6731992,CHEM  110 CA
6731992,FREN  210 A
6731992,MATH  110 A
6731992,SSI1  128 A
6732038,CHEM  110 C
6732038,CHEM  110 CB
6732038,MATH  160 I
6732038,MATH  160 I
6732038,OT  101 A
6732038,SPAN  201 F
6732038,SSI1  112 A
6732054,BIOL  111 C
6732054,BIOL  111 CC
6732054,COMM  170 A
6732054,CWLT  100 B
6732054,SSI1  118 B
6732129,IPE  201 C
6732129,MATH  260 B
6732129,MATH  260 B
6732129,SOAN  101 B
6732129,SSI1  174 A
6732150,GERM  101 B
6732150,PG  101 A
6732150,PHIL  101 B
6732150,SSI1  115 A
6732250,HIST  291 A
6732250,MATH  280 B
6732250,MATH  280 B
6732250,PHYS  121 A
6732250,PHYS  121 EE
6732250,SSI1  187 A
6732278,CLSC  211 A
6732278,LAT  101 A
6732278,REL  201 A
6732278,SSI1  176 B
6732330,ENVR  101 A
6732330,ENVR  101 AA
6732330,SPAN  101 B
6732330,SPAN  101 B
6732330,SSI1  179 A
6732357,CHEM  115 A
6732357,CHEM  115 AB
6732357,ENGL  199 A
6732357,FREN  201 A
6732357,MATH  181 A
6732357,MATH  181 A
6732357,MATH  181 A
6732357,SSI1  195 B
6732408,BUS  101 A
6732408,ECON  170 B
6732408,PG  103 D
6732408,SPAN  203 A
6732408,SPAN  203 A
6732408,SSI1  187 A
6732444,CHEM  110 G
6732444,CHEM  110 G
6732444,CHEM  110 GA
6732444,GEOL  101 B
6732444,GEOL  101 BA
6732444,MATH  180 A
6732444,SSI1  165 A
6732532,AFAM  210 A
6732532,SPAN  201 B
6732532,SPAN  201 B
6732532,SSI1  118 B
6732565,CLSC  211 A
6732565,GRK  101 A
6732565,PE  104 A
6732565,PG  101 B
6732565,SSI1  172 A
6732582,ECON  170 A
6732582,MATH  260 A
6732582,MUS  272 A
6732582,PHIL  101 B
6732582,SSI1  141 C
6732670,BUS  101 A
6732670,ECON  170 B
6732670,GRK  101 A
6732670,HIST  153 A
6732670,SSI1  104 B
6732692,CHEM  110 F
6732692,CHEM  110 F
6732692,CHEM  110 FA
6732692,ENVR  101 A
6732692,ENVR  101 AA
6732692,SPAN  101 B
6732692,SPAN  101 B
6732692,SSI1  124 A
6732741,HIST  102 A
6732741,MATH  181 C
6732741,MATH  181 C
6732741,MUS  270 A
6732741,PHYS  121 A
6732741,PHYS  121 DD
6732741,SSI1  181 A
6732774,ECON  170 A
6732774,PE  105 A
6732774,SPAN  101 H
6732774,SSI1  187 A
6732793,CHIN  101 B
6732793,CHIN  101 CC
6732793,MATH  180 E
6732793,MATH  180 E
6732793,PHYS  121 A
6732793,PHYS  121 FF
6732793,SSI1  195 B
6732805,GQS  201 A
6732805,SOAN  101 B
6732805,SSI1  134 A
6732862,CLSC  311 A
6732862,GQS  291 A
6732862,GRK  101 A
6732862,MATH  280 A
6732862,MATH  280 A
6732862,SSI1  195 A
6732902,LTS  200 B
6732902,PE  107 A
6732902,PG  103 A
6732902,SPAN  201 F
6732902,SSI1  112 A
6732908,CHIN  201 B
6732908,CHIN  201 EE
6732908,IPE  201 A
6732908,MUS  272 A
6732908,SSI1  160 A
6732930,FREN  201 A
6732930,MATH  160 J
6732930,MATH  160 J
6732930,PG  101 A
6732930,SSI1  141 B
6733017,ARTS  101 A
6733017,PE  158 A
6733017,PG  102 A
6733017,SPAN  201 H
6733017,SSI1  128 C
6733030,MATH  180 F
6733030,MATH  180 F
6733030,PHYS  121 A
6733030,PHYS  121 DD
6733030,SSI1  108 A
6733034,CHEM  110 C
6733034,CHEM  110 CB
6733034,GERM  101 B
6733034,MUS  126 A
6733034,SSI1  135 A
6733094,FREN  240 B
